Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
203,Gri01.13,137,GRI,HIGH,0.04,6.7,1,0.0958,0.0167,391,26,0.1577,0.058823529,0.25,1
375,UnH: Cla12.04,137,GRI,HIGH,0.04,6.7,1,0.1093,0.0225,1109,71,0.1324,0.058823529,0.25,1
572,UnL: Anz13.04,137,GRI,HIGH,0.04,6.7,1,0.1272,0.0252,702,78,0.1103,0.058823529,0.25,1
748,A. heermannii,137,GRI,HIGH,0.04,6.7,1,0.0765,0.0274,NA,0,NA,NA,NA,NA
749,A. heermannii,137,GRI,HIGH,0.04,6.7,1,0.0765,0.0274,321,34,0.1147,0.058823529,0.25,1
182,Gri01.01,137,GRI,HIGH,0.04,6.7,2,0.1325,0.021,607,36,0.1861,0.058823529,0.25,1
211,Gri01.13,137,GRI,HIGH,0.04,6.7,2,0.1132,0.0126,474,28,0.2429,0.058823529,0.25,1
403,UnH: Cla12.04,137,GRI,HIGH,0.04,6.7,2,0.0952,0.0251,1571,61,0.1525,0.058823529,0.25,1
595,UnL: Anz13.04,137,GRI,HIGH,0.04,6.7,2,0.0786,0.0253,350,62,0.1419,0.058823529,0.25,1
775,A. heermannii,137,GRI,HIGH,0.04,6.7,2,0.0842,0.0302,440,34,0.2382,0.058823529,0.25,1
183,Gri01.01,137,GRI,HIGH,0.04,6.7,3,0.2281,0.0431,1955,40,0.265,0.058823529,0.25,1
213,Gri01.13,137,GRI,HIGH,0.04,6.7,3,0.1863,0.0294,867,40,0.31,0.058823529,0.25,1
443,UnH: Cla12.04,137,GRI,HIGH,0.04,6.7,3,0.1472,0.0354,3345,86,0.1174,0.058823529,0.25,1
620,UnL: Anz13.04,137,GRI,HIGH,0.04,6.7,3,0.1846,0.072,1953,97,0.1381,0.058823529,0.25,1
795,A. heermannii,137,GRI,HIGH,0.04,6.7,3,0.2066,0.0995,1372,116,0.1216,0.058823529,0.25,1
193,Gri01.01,137,GRI,HIGH,0.04,6.7,4,0.1445,0.0128,384,16,0.225,0.058823529,0.25,1
224,Gri01.13,137,GRI,HIGH,0.04,6.7,4,0.0349,0.0039,73,10,0.21,0.058823529,0.25,1
487,UnH: Cla12.04,137,GRI,HIGH,0.04,6.7,4,0.0333,0.0099,73,20,0.15,0.058823529,0.25,1
672,UnL: Anz13.04,137,GRI,HIGH,0.04,6.7,4,DEAD,DEAD,NA,NA,NA,NA,NA,NA
842,A. heermannii,137,GRI,HIGH,0.04,6.7,4,0.1175,0.0294,547,51,0.0882,0.058823529,0.25,1
198,Gri01.01,137,GRI,HIGH,0.04,6.7,5,0.127,0.0201,1553,24,0.3625,0.058823529,0.25,1
524,UnH: Cla12.04,137,GRI,HIGH,0.04,6.7,5,0.1562,0.0315,3376,67,0.1343,0.058823529,0.25,1
877,A. heermannii,137,GRI,HIGH,0.04,6.7,5,0.1295,0.0536,901,48,0.1646,0.058823529,0.25,1
